<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2023.10.02,1:00:00,1847.86,1848.82,1845.785,1846.575,3222,0,100
2023.10.02,2:00:00,1846.535,1848.57,1846.22,1848.43,2134,0,100
2023.10.02,3:00:00,1848.44,1848.995,1845.22,1845.535,3335,0,100
2023.10.02,4:00:00,1845.56,1847.46,1844.03,1844.035,2553,0,100
2023.10.02,5:00:00,1844.015,1845.155,1842.92,1844.1,2951,0,100
2023.10.02,6:00:00,1844.08,1844.94,1843.41,1843.535,1360,0,100
2023.10.02,7:00:00,1843.475,1844.43,1842.43,1842.61,2179,0,100
2023.10.02,8:00:00,1842.605,1843.195,1839.29,1839.7,3139,0,100
2023.10.02,9:00:00,1839.72,1846.335,1839.52,1844.685,6147,0,100
2023.10.02,10:00:00,1844.69,1846.11,1839.495,1839.86,10106,0,100
2023.10.02,11:00:00,1839.85,1843.25,1839.555,1839.63,6403,0,100
2023.10.02,12:00:00,1839.56,1839.765,1831.21,1834.35,11727,0,100
2023.10.02,13:00:00,1834.405,1836.38,1832.845,1833.55,7119,0,100
2023.10.02,14:00:00,1833.545,1838.27,1833.545,1837.4,8098,0,100
2023.10.02,15:00:00,1837.375,1840.625,1834.105,1836.33,15785,0,100
2023.10.02,16:00:00,1836.485,1838.52,1832.365,1833.99,23008,0,100
2023.10.02,17:00:00,1833.725,1837.045,1827.225,1828.91,33893,0,100
2023.10.02,18:00:00,1828.915,1834.69,1827.515,1832.695,19740,0,100
2023.10.02,19:00:00,1832.745,1833.285,1830.55,1831.64,9923,0,100
2023.10.02,20:00:00,1831.645,1833.64,1831.04,1831.935,8797,0,100
2023.10.02,21:00:00,1831.95,1833.445,1830.335,1830.685,5138,0,100
2023.10.02,22:00:00,1830.67,1830.735,1829.305,1829.46,5260,0,100
2023.10.02,23:00:00,1829.45,1829.745,1827.615,1827.89,2646,0,100
2023.10.03,1:00:00,1828.91,1829.25,1827.445,1828.225,2036,0,100
2023.10.03,2:00:00,1828.23,1828.23,1820.58,1824.96,4323,0,100
2023.10.03,3:00:00,1824.94,1825.32,1822.13,1824.745,5064,0,100
2023.10.03,4:00:00,1824.74,1825.175,1822.745,1823.005,4586,0,100
2023.10.03,5:00:00,1823.05,1823.3,1815.3,1817.48,5859,0,100
2023.10.03,6:00:00,1817.485,1820.825,1816.995,1820.57,3631,0,100
2023.10.03,7:00:00,1820.64,1821.84,1819.82,1820.735,4252,0,100
2023.10.03,8:00:00,1820.74,1820.975,1818.25,1819.535,4101,0,100
2023.10.03,9:00:00,1819.53,1824.685,1819.185,1823.905,7067,0,100
2023.10.03,10:00:00,1823.915,1824.51,1820.785,1824.12,9102,0,100
2023.10.03,11:00:00,1824.115,1829.195,1824.05,1826.28,9076,0,100
2023.10.03,12:00:00,1826.29,1828.045,1823.845,1826.52,7825,0,100
2023.10.03,13:00:00,1826.485,1827.425,1825.035,1825.845,6051,0,100
2023.10.03,14:00:00,1825.83,1827.355,1823.74,1826.025,11221,0,100
2023.10.03,15:00:00,1826.02,1829.835,1824.445,1824.89,17503,0,100
2023.10.03,16:00:00,1824.91,1831.39,1823.34,1829.115,24519,0,100
2023.10.03,17:00:00,1829.1,1833.425,1819.335,1826.49,58710,0,100
2023.10.03,18:00:00,1826.495,1828.66,1822.065,1824.9,26276,0,100
2023.10.03,19:00:00,1824.905,1828.15,1822.965,1823.965,16494,0,100
2023.10.03,20:00:00,1823.975,1826.03,1822.98,1823.67,9149,0,100
2023.10.03,21:00:00,1823.665,1825.555,1821.97,1823.84,8748,0,100
2023.10.03,22:00:00,1823.83,1825.295,1823.43,1824.005,6104,0,100
2023.10.03,23:00:00,1824.01,1825.105,1822.835,1822.905,2398,0,100
2023.10.04,1:00:00,1823.675,1824.345,1822.205,1822.73,1777,0,100
2023.10.04,2:00:00,1822.735,1824.995,1822.28,1823.4,3006,0,100
