<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.06.25,1:00:00,2334.025,2334.425,2333.795,2333.895,69,0,190
2024.06.25,1:15:00,2333.82,2333.82,2333,2333.415,171,0,130
2024.06.25,1:30:00,2333.415,2333.48,2332.48,2332.51,214,0,180
2024.06.25,1:45:00,2332.51,2332.645,2331.78,2331.855,140,0,210
2024.06.25,2:00:00,2331.85,2332.04,2330.335,2330.57,465,0,140
2024.06.25,2:15:00,2330.545,2331.235,2330.38,2331.005,319,0,100
2024.06.25,2:30:00,2331.005,2331.555,2330.83,2331.03,345,0,100
2024.06.25,2:45:00,2331.03,2331.425,2330.575,2330.9,970,0,100
2024.06.25,3:00:00,2330.925,2331.025,2329.615,2329.615,989,0,110
2024.06.25,3:15:00,2329.575,2330.355,2329.025,2329.205,841,0,100
2024.06.25,3:30:00,2329.2,2329.86,2328.325,2329.22,960,0,100
2024.06.25,3:45:00,2329.22,2330.52,2329.13,2330.13,1385,0,100
2024.06.25,4:00:00,2330.135,2330.975,2328.69,2329.895,3184,0,100
2024.06.25,4:15:00,2329.9,2330.1,2326.48,2327.195,2868,0,100
2024.06.25,4:30:00,2327.2,2327.61,2324.825,2324.855,2392,0,100
2024.06.25,4:45:00,2324.845,2325.96,2323.245,2325.895,3318,0,100
2024.06.25,5:00:00,2325.825,2327.125,2324.58,2325.21,2454,0,100
2024.06.25,5:15:00,2325.215,2326.655,2324.84,2326.185,969,0,100
2024.06.25,5:30:00,2326.175,2327.15,2325.52,2326.48,2068,0,100
2024.06.25,5:45:00,2326.48,2327.115,2325.145,2326.57,1574,0,100
2024.06.25,6:00:00,2326.54,2328.535,2326.5,2327.98,2027,0,100
2024.06.25,6:15:00,2327.985,2328.65,2327.14,2328.14,1434,0,100
2024.06.25,6:30:00,2328.15,2328.16,2327.075,2327.14,970,0,100
2024.06.25,6:45:00,2327.12,2327.365,2324.075,2324.2,1428,0,100
2024.06.25,7:00:00,2324.275,2326.445,2322.775,2325.995,1930,0,100
2024.06.25,7:15:00,2325.96,2326.83,2325.66,2326.405,995,0,100
2024.06.25,7:30:00,2326.405,2327.625,2326.28,2327.405,969,0,100
2024.06.25,7:45:00,2327.365,2327.845,2326.89,2327.51,822,0,100
2024.06.25,8:00:00,2327.52,2328.66,2327.135,2327.86,1172,0,100
2024.06.25,8:15:00,2327.855,2329.505,2327.5,2329.48,1145,0,100
2024.06.25,8:30:00,2329.5,2330.21,2325.39,2326.035,2580,0,110
2024.06.25,8:45:00,2326.02,2326.435,2324.62,2325.07,2050,0,100
2024.06.25,9:00:00,2325.07,2325.335,2323.49,2324.67,2142,0,100
2024.06.25,9:15:00,2324.68,2325.555,2324.125,2324.79,1828,0,100
2024.06.25,9:30:00,2324.79,2326.21,2324.41,2325.245,1920,0,100
2024.06.25,9:45:00,2325.22,2328.25,2325.22,2327.245,2662,0,100
2024.06.25,10:00:00,2327.22,2327.715,2325.94,2327.44,2059,0,100
2024.06.25,10:15:00,2327.44,2327.76,2325.745,2326.785,1623,0,100
2024.06.25,10:30:00,2326.785,2327.105,2324.12,2324.715,2202,0,100
2024.06.25,10:45:00,2324.71,2326.695,2324.37,2324.95,2551,0,100
2024.06.25,11:00:00,2324.915,2327.62,2322.95,2326.755,2861,0,100
2024.06.25,11:15:00,2326.79,2327.305,2324.49,2326.12,2060,0,100
